# Arandkei 500 Index, -, Official Constituent Dataset,,
# Copyright (c), 2026 Arandkei., All rights reserved.,,
# Author:, Arandkei, (Gerardo LunaRodas),,
# Methodology:, https://github.com/lunarodas/arandkei-500/blob/main/METHODOLOGY.md,,,
# License:, MIT License,,,
# Output Weight Scheme:, Equal Weight,,, 0.20%
Ticker,Name,Exchange,Sector,Weight
NCNO,"nCino, Inc.",NASDAQ,Technology,0.20%
NESR,National Energy Services Reunited Corp.,NASDAQ,Energy,0.20%
NET,"Cloudflare, Inc.",NYSE,Technology,0.20%
NG,NovaGold Resources Inc.,AMERICAN,Materials,0.20%
NIQ,NIQ Global Intelligence plc,NYSE,Technology,0.20%
NKTR,Nektar Therapeutics,NASDAQ,Healthcare,0.20%
NMRK,"Newmark Group, Inc.",NASDAQ,Real Estate,0.20%
NN,NextNav Inc.,NASDAQ,Technology,0.20%
NNI,"Nelnet, Inc.",NYSE,Financials,0.20%
NRIX,"Nurix Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
NTLA,"Intellia Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
NTR,Nutrien Ltd.,NYSE,Materials,0.20%
NTRA,"Natera, Inc.",NASDAQ,Healthcare,0.20%
NTSK,"Netskope, Inc.",NASDAQ,Technology,0.20%
NU,Nu Holdings Ltd.,NYSE,Financials,0.20%
NUVB,Nuvation Bio Inc.,NYSE,Healthcare,0.20%
NVMI,Nova Ltd.,NASDAQ,Technology,0.20%
NVTS,Navitas Semiconductor Corporation,NASDAQ,Technology,0.20%
NXE,NexGen Energy Ltd.,NYSE,Energy,0.20%
OCUL,"Ocular Therapeutix, Inc.",NASDAQ,Healthcare,0.20%
OGC,OceanaGold Corporation,NYSE,Materials,0.20%
OKLO,Oklo Inc.,NYSE,Utilities,0.20%
OMF,"OneMain Holdings, Inc.",NYSE,Financials,0.20%
ONDS,Ondas Inc.,NASDAQ,Technology,0.20%
ONON,On Holding AG,NYSE,Consumer Discretionary,0.20%
OPEN,Opendoor Technologies Inc.,NASDAQ,Real Estate,0.20%
OR,OR Royalties Inc.,NYSE,Materials,0.20%
ORKA,"Oruka Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
OSCR,"Oscar Health, Inc.",NYSE,Healthcare,0.20%
OTEX,Open Text Corporation,NASDAQ,Technology,0.20%
OTF,Blue Owl Technology Finance Corp.,NYSE,Financials,0.20%
OUST,"Ouster, Inc.",NASDAQ,Technology,0.20%
OWL,Blue Owl Capital Inc.,NYSE,Financials,0.20%
PAAS,Pan American Silver Corp.,NYSE,Materials,0.20%
PACS,"PACS Group, Inc.",NYSE,Healthcare,0.20%
PAGS,PagSeguro Digital Ltd.,NYSE,Technology,0.20%
PAY,"Paymentus Holdings, Inc.",NYSE,Technology,0.20%
PAYP,PayPay Corporation,NASDAQ,Technology,0.20%
PBA,Pembina Pipeline Corporation,NYSE,Energy,0.20%
PBLS,"Parabilis Medicines, Inc.",NASDAQ,Healthcare,0.20%
PCOR,"Procore Technologies, Inc.",NYSE,Technology,0.20%
PCVX,"Vaxcyte, Inc.",NASDAQ,Healthcare,0.20%
PFSI,"PennyMac Financial Services, Inc.",NYSE,Financials,0.20%
PGEN,"Precigen, Inc.",NASDAQ,Healthcare,0.20%
PGY,Pagaya Technologies Ltd.,NASDAQ,Technology,0.20%
PL,Planet Labs PBC,NYSE,Industrials,0.20%
PLUG,Plug Power Inc.,NASDAQ,Industrials,0.20%
POET,POET Technologies Inc.,NASDAQ,Technology,0.20%
PONY,Pony AI Inc.,NASDAQ,Technology,0.20%
PPTA,Perpetua Resources Corp.,NASDAQ,Materials,0.20%
PRAX,"Praxis Precision Medicines, Inc.",NASDAQ,Healthcare,0.20%
PRM,"Perimeter Solutions, Inc.",NYSE,Materials,0.20%
PRMB,Primo Brands Corporation,NYSE,Consumer Staples,0.20%
PS,Pershing Square Inc.,NYSE,Financials,0.20%
PSNL,"Personalis, Inc.",NASDAQ,Healthcare,0.20%
QBTS,D-Wave Quantum Inc.,NASDAQ,Technology,0.20%
QGEN,Qiagen N.V.,NYSE,Healthcare,0.20%
QNT,Quantinuum Inc.,NASDAQ,Technology,0.20%
QS,QuantumScape Corporation,NASDAQ,Consumer Discretionary,0.20%
QSR,Restaurant Brands International Inc.,NYSE,Consumer Discretionary,0.20%
QUBT,Quantum Computing Inc.,NASDAQ,Technology,0.20%
QURE,uniQure N.V.,NASDAQ,Healthcare,0.20%
QXO,"QXO, Inc.",NYSE,Industrials,0.20%
RACE,Ferrari N.V.,NYSE,Consumer Discretionary,0.20%
